Language,State/UT,District,User,
Bengali,Andhra Pradesh,Eluru,,
 Dogri,Andhra Pradesh,Nandyal,,
 Kashmiri,Andhra Pradesh,N T Rama Rao,,
 Kannada,Andhra Pradesh,Manyam,,
 Punjabi,Andhra Pradesh,Kurnool,,
 Malayalam,Andhra Pradesh,Krishna,,
 Manipuri,Andhra Pradesh,Konaseema,,
 Urdu,Andhra Pradesh,Kakinada,,
 Marathi,Andhra Pradesh,Kadapa,,
 Hindi,Andhra Pradesh,Guntur,,
 Assamese,Andaman Nicobar,Nicobar,,
 Nepali,Andhra Pradesh,Bapatla,,
 Tamil,Andhra Pradesh,Annamaya,,
 Sindhi,Andhra Pradesh,Anakapalli,,
 Bodo,Andhra Pradesh,Alluri Sitarama Raju,,
 Konkani,Andhra Pradesh,East Godavari,,
 Maithili,Andhra Pradesh,Chittoor,,
 Gujarati,Andhra Pradesh,Anantapur,,
 Odia,Andaman Nicobar,South Andaman,,
 Sanskrit,Andaman Nicobar,North Middle Andaman,,
 Telugu,Arunachal Pradesh,Central Siang,,
,Arunachal Pradesh,Lohit,,
,Arunachal Pradesh,Lepa Rada,,
,Arunachal Pradesh,Kurung Kumey,,
,Arunachal Pradesh,Kra Daadi,,
,Arunachal Pradesh,Kamle,,
,Arunachal Pradesh,East Siang,,
,Arunachal Pradesh,East Kameng,,
,Arunachal Pradesh,Dibang Valley,,
,Arunachal Pradesh,Changlang,,
,Andhra Pradesh,Nellore,,
,Arunachal Pradesh,Anjaw,,
,Andhra Pradesh,West Godavari,,
,Andhra Pradesh,Vizianagaram,,
,Andhra Pradesh,Visakhapatnam,,
,Andhra Pradesh,Srikakulam,,
,Andhra Pradesh,Sri Satya Sai,,
,Andhra Pradesh,Sri Balaji,,
,Andhra Pradesh,Prakasam,,
,Andhra Pradesh,Palnadu,,
,Arunachal Pradesh,Upper Siang,,
,Assam,Cachar,,
,Assam,Bongaigaon,,
,Assam,Biswanath,,
,Assam,Barpeta,,
,Assam,Baksa,,
,Assam,Bajali,,
,Arunachal Pradesh,West Siang,,
,Arunachal Pradesh,West Kameng,,
,Arunachal Pradesh,Upper Subansiri,,
,Arunachal Pradesh,Longding,,
,Arunachal Pradesh,Tirap,,
,Arunachal Pradesh,Tawang,,
,Arunachal Pradesh,Shi Yomi,,
,Arunachal Pradesh,Papum Pare,,
,Arunachal Pradesh,Pakke Kessang,,
,Arunachal Pradesh,Namsai,,
,Arunachal Pradesh,Lower Subansiri,,
,Arunachal Pradesh,Lower Siang,,
,Arunachal Pradesh,Lower Dibang Valley,,
,Assam,Hojai,,
,Assam,Morigaon,,
,Assam,Majuli,,
,Assam,Lakhimpur,,
,Assam,Kokrajhar,,
,Assam,Karimganj,,
,Assam,Karbi Anglong,,
,Assam,Kamrup Metropolitan,,
,Assam,Kamrup,,
,Assam,Jorhat,,
,Assam,Charaideo,,
,Assam,Hailakandi,,
,Assam,Golaghat,,
,Assam,Goalpara,,
,Assam,Dima Hasao,,
,Assam,Dibrugarh,,
,Assam,Dhubri,,
,Assam,Dhemaji,,
,Assam,Darrang,,
,Assam,Chirang,,
,Bihar,Arwal,,
,Bihar,Gaya,,
,Bihar,East Champaran,,
,Bihar,Darbhanga,,
,Bihar,Buxar,,
,Bihar,Bhojpur,,
,Bihar,Bhagalpur,,
,Bihar,Begusarai,,
,Bihar,Banka,,
,Bihar,Aurangabad,,
,Assam,Nagaon,,
,Bihar,Araria,,
,Assam,West Karbi Anglong,,
,Assam,Udalguri,,
,Assam,Tinsukia,,
,Assam,Tamulpur,,
,Assam,South Salmara-Mankachar,,
,Assam,Sonitpur,,
,Assam,Sivasagar,,
,Assam,Nalbari,,
,Bihar,Munger,,
,Bihar,Saran,,
,Bihar,Samastipur,,
,Bihar,Saharsa,,
,Bihar,Rohtas,,
,Bihar,Purnia,,
,Bihar,Patna,,
,Bihar,Nawada,,
,Bihar,Nalanda,,
,Bihar,Muzaffarpur,,
,Bihar,Gopalganj,,
,Bihar,Madhubani,,
,Bihar,Madhepura,,
,Bihar,Lakhisarai,,
,Bihar,Kishanganj,,
,Bihar,Khagaria,,
,Bihar,Katihar,,
,Bihar,Kaimur,,
,Bihar,Jehanabad,,
,Bihar,Jamui,,
,Chhattisgarh,Balrampur,,
,Chhattisgarh,Gaurela Pendra Marwahi,,
,Chhattisgarh,Gariaband,,
,Chhattisgarh,Durg,,
,Chhattisgarh,Dhamtari,,
,Chhattisgarh,Dantewada,,
,Chhattisgarh,Bilaspur,,
,Chhattisgarh,Bijapur,,
,Chhattisgarh,Bemetara,,
,Chhattisgarh,Bastar,,
,Bihar,Sheikhpura,,
,Chhattisgarh,Baloda Bazar,,
,Chhattisgarh,Balod,,
,Chandigarh,Chandigarh,,
,Bihar,West Champaran,,
,Bihar,Vaishali,,
,Bihar,Supaul,,
,Bihar,Siwan,,
,Bihar,Sitamarhi,,
,Bihar,Sheohar,,
,Chhattisgarh,Mohla Manpur,,
,Chhattisgarh,Surajpur,,
,Chhattisgarh,Sukma,,
,Chhattisgarh,Sarangarh Bilaigarh,,
,Chhattisgarh,Sakti,,
,Chhattisgarh,Rajnandgaon,,
,Chhattisgarh,Raipur,,
,Chhattisgarh,Raigarh,,
,Chhattisgarh,Narayanpur,,
,Chhattisgarh,Mungeli,,
,Chhattisgarh,Janjgir Champa,,
,Chhattisgarh,Manendragarh,,
,Chhattisgarh,Mahasamund,,
,Chhattisgarh,Koriya,,
,Chhattisgarh,Korba,,
,Chhattisgarh,Kondagaon,,
,Chhattisgarh,Khairagarh,,
,Chhattisgarh,Kanker,,
,Chhattisgarh,Kabirdham,,
,Chhattisgarh,Jashpur,,
,Delhi,Shahdara,,
,Gujarat,Anand,,
,Gujarat,Amreli,,
,Gujarat,Ahmedabad,,
,Goa,South Goa,,
,Goa,North Goa,,
,Delhi,West Delhi,,
,Delhi,South West Delhi,,
,Delhi,South East Delhi,,
,Delhi,South Delhi,,
,Chhattisgarh,Surguja,,
,Delhi,North West Delhi,,
,Delhi,North East Delhi,,
,Delhi,North Delhi,,
,Delhi,New Delhi,,
,Delhi,East Delhi,,
,Delhi,Central Delhi,,
,Dadra and Nagar Haveli and Daman and Diu,Diu,,
,Dadra and Nagar Haveli and Daman and Diu,Daman,,
,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,,
,Gujarat,Gir Somnath,,
,Gujarat,Navsari,,
,Gujarat,Narmada,,
,Gujarat,Morbi,,
,Gujarat,Mehsana,,
,Gujarat,Mahisagar,,
,Gujarat,Kutch,,
,Gujarat,Kheda,,
,Gujarat,Junagadh,,
,Gujarat,Jamnagar,,
,Gujarat,Aravalli,,
,Gujarat,Gandhinagar,,
,Gujarat,Devbhoomi Dwarka,,
,Gujarat,Dang,,
,Gujarat,Dahod,,
,Gujarat,Chhota Udaipur,,
,Gujarat,Botad,,
,Gujarat,Bhavnagar,,
,Gujarat,Bharuch,,
,Gujarat,Banaskantha,,
,Haryana,Ambala,,
,Haryana,Kaithal,,
,Haryana,Jind,,
,Haryana,Jhajjar,,
,Haryana,Hisar,,
,Haryana,Gurugram,,
,Haryana,Fatehabad,,
,Haryana,Faridabad,,
,Haryana,Charkhi Dadri,,
,Haryana,Bhiwani,,
,Gujarat,Panchmahal,,
,Gujarat,Valsad,,
,Gujarat,Vadodara,,
,Gujarat,Tapi,,
,Gujarat,Surendranagar,,
,Gujarat,Surat,,
,Gujarat,Sabarkantha,,
,Gujarat,Rajkot,,
,Gujarat,Porbandar,,
,Gujarat,Patan,,
,Haryana,Sonipat,,
,Himachal Pradesh,Mandi,,
,Himachal Pradesh,Lahaul Spiti,,
,Himachal Pradesh,Kullu,,
,Himachal Pradesh,Kinnaur,,
,Himachal Pradesh,Kangra,,
,Himachal Pradesh,Hamirpur,,
,Himachal Pradesh,Chamba,,
,Himachal Pradesh,Bilaspur,,
,Haryana,Yamunanagar,,
,Haryana,Karnal,,
,Haryana,Sirsa,,
,Haryana,Rohtak,,
,Haryana,Rewari,,
,Haryana,Panipat,,
,Haryana,Panchkula,,
,Haryana,Palwal,,
,Haryana,Mewat,,
,Haryana,Mahendragarh,,
,Haryana,Kurukshetra,,
,Jammu Kashmir,Jammu,,
,Jammu Kashmir,Reasi,,
,Jammu Kashmir,Ramban,,
,Jammu Kashmir,Rajouri,,
,Jammu Kashmir,Pulwama,,
,Jammu Kashmir,Poonch,,
,Jammu Kashmir,Kupwara,,
,Jammu Kashmir,Kulgam,,
,Jammu Kashmir,Kishtwar,,
,Jammu Kashmir,Kathua,,
,Himachal Pradesh,Shimla,,
,Jammu Kashmir,Ganderbal,,
,Jammu Kashmir,Doda,,
,Jammu Kashmir,Budgam,,
,Jammu Kashmir,Baramulla,,
,Jammu Kashmir,Bandipora,,
,Jammu Kashmir,Anantnag,,
,Himachal Pradesh,Una,,
,Himachal Pradesh,Solan,,
,Himachal Pradesh,Sirmaur,,
,Jharkhand,Garhwa,,
,Jharkhand,Lohardaga,,
,Jharkhand,Latehar,,
,Jharkhand,Koderma,,
,Jharkhand,Khunti,,
,Jharkhand,Jamtara,,
,Jharkhand,Hazaribagh,,
,Jharkhand,Gumla,,
,Jharkhand,Godda,,
,Jharkhand,Giridih,,
,Jammu Kashmir,Samba,,
,Jharkhand,East Singhbhum,,
,Jharkhand,Dumka,,
,Jharkhand,Dhanbad,,
,Jharkhand,Deoghar,,
,Jharkhand,Chatra,,
,Jharkhand,Bokaro,,
,Jammu Kashmir,Udhampur,,
,Jammu Kashmir,Srinagar,,
,Jammu Kashmir,Shopian,,
,Karnataka,Bangalore Urban,,
,Karnataka,Davanagere,,
,Karnataka,Dakshina Kannada,,
,Karnataka,Chitradurga,,
,Karnataka,Chikkamagaluru,,
,Karnataka,Chikkaballapur,,
,Karnataka,Chamarajanagar,,
,Karnataka,Bidar,,
,Karnataka,Bellary,,
,Karnataka,Belgaum,,
,Jharkhand,Pakur,,
,Karnataka,Bangalore Rural,,
,Karnataka,Bagalkot,,
,Jharkhand,West Singhbhum,,
,Jharkhand,Simdega,,
,Jharkhand,Seraikela Kharsawan,,
,Jharkhand,Sahebganj,,
,Jharkhand,Ranchi,,
,Jharkhand,Ramgarh,,
,Jharkhand,Palamu,,
,Karnataka,Raichur,,
,Kerala,Alappuzha,,
,Karnataka,Yadgir,,
,Karnataka,Vijayapura,,
,Karnataka,Vijayanagara,,
,Karnataka,Uttara Kannada,,
,Karnataka,Udupi,,
,Karnataka,Tumkur,,
,Karnataka,Shimoga,,
,Karnataka,Ramanagara,,
,Karnataka,Dharwad,,
,Karnataka,Mysore,,
,Karnataka,Mandya,,
,Karnataka,Koppal,,
,Karnataka,Kolar,,
,Karnataka,Kodagu,,
,Karnataka,Haveri,,
,Karnataka,Hassan,,
,Karnataka,Gulbarga,,
,Karnataka,Gadag,,
,Kerala,Thiruvananthapuram,,
,Madhya Pradesh,Ashoknagar,,
,Madhya Pradesh,Anuppur,,
,Madhya Pradesh,Alirajpur,,
,Madhya Pradesh,Agar Malwa,,
,Lakshadweep,Lakshadweep,,
,Ladakh,Leh,,
,Ladakh,Kargil,,
,Kerala,Wayanad,,
,Kerala,Thrissur,,
,Kerala,Ernakulam,,
,Kerala,Pathanamthitta,,
,Kerala,Palakkad,,
,Kerala,Malappuram,,
,Kerala,Kozhikode,,
,Kerala,Kottayam,,
,Kerala,Kollam,,
,Kerala,Kasaragod,,
,Kerala,Kannur,,
,Kerala,Idukki,,
,Madhya Pradesh,Datia,,
,Madhya Pradesh,Jabalpur,,
,Madhya Pradesh,Indore,,
,Madhya Pradesh,Hoshangabad,,
,Madhya Pradesh,Harda,,
,Madhya Pradesh,Gwalior,,
,Madhya Pradesh,Guna,,
,Madhya Pradesh,Dindori,,
,Madhya Pradesh,Dhar,,
,Madhya Pradesh,Dewas,,
,Madhya Pradesh,Balaghat,,
,Madhya Pradesh,Damoh,,
,Madhya Pradesh,Chhindwara,,
,Madhya Pradesh,Chhatarpur,,
,Madhya Pradesh,Chachaura,,
,Madhya Pradesh,Burhanpur,,
,Madhya Pradesh,Bhopal,,
,Madhya Pradesh,Bhind,,
,Madhya Pradesh,Betul,,
,Madhya Pradesh,Barwani,,
,Madhya Pradesh,Neemuch,,
,Madhya Pradesh,Sehore,,
,Madhya Pradesh,Satna,,
,Madhya Pradesh,Sagar,,
,Madhya Pradesh,Rewa,,
,Madhya Pradesh,Ratlam,,
,Madhya Pradesh,Rajgarh,,
,Madhya Pradesh,Raisen,,
,Madhya Pradesh,Panna,,
,Madhya Pradesh,Niwari,,
,Madhya Pradesh,Jhabua,,
,Madhya Pradesh,Narsinghpur,,
,Madhya Pradesh,Nagda,,
,Madhya Pradesh,Morena,,
,Madhya Pradesh,Mandsaur,,
,Madhya Pradesh,Mandla,,
,Madhya Pradesh,Maihar,,
,Madhya Pradesh,Khargone,,
,Madhya Pradesh,Khandwa,,
,Madhya Pradesh,Katni,,
,Madhya Pradesh,Vidisha,,
,Maharashtra,Dhule,,
,Maharashtra,Chandrapur,,
,Maharashtra,Buldhana,,
,Maharashtra,Bhandara,,
,Maharashtra,Beed,,
,Maharashtra,Aurangabad,,
,Maharashtra,Amravati,,
,Maharashtra,Akola,,
,Maharashtra,Ahmednagar,,
,Madhya Pradesh,Seoni,,
,Madhya Pradesh,Umaria,,
,Madhya Pradesh,Ujjain,,
,Madhya Pradesh,Tikamgarh,,
,Madhya Pradesh,Singrauli,,
,Madhya Pradesh,Sidhi,,
,Madhya Pradesh,Shivpuri,,
,Madhya Pradesh,Sheopur,,
,Madhya Pradesh,Shajapur,,
,Madhya Pradesh,Shahdol,,
,Maharashtra,Nanded,,
,Maharashtra,Sangli,,
,Maharashtra,Ratnagiri,,
,Maharashtra,Raigad,,
,Maharashtra,Pune,,
,Maharashtra,Parbhani,,
,Maharashtra,Palghar,,
,Maharashtra,Osmanabad,,
,Maharashtra,Nashik,,
,Maharashtra,Nandurbar,,
,Maharashtra,Gadchiroli,,
,Maharashtra,Nagpur,,
,Maharashtra,Mumbai Suburban,,
,Maharashtra,Mumbai City,,
,Maharashtra,Latur,,
,Maharashtra,Kolhapur,,
,Maharashtra,Jalna,,
,Maharashtra,Jalgaon,,
,Maharashtra,Hingoli,,
,Maharashtra,Gondia,,
,Manipur,Imphal East,,
,Manipur,Tamenglong,,
,Manipur,Senapati,,
,Manipur,Pherzawl,,
,Manipur,Noney,,
,Manipur,Kangpokpi,,
,Manipur,Kamjong,,
,Manipur,Kakching,,
,Manipur,Jiribam,,
,Manipur,Imphal West,,
,Maharashtra,Satara,,
,Manipur,Churachandpur,,
,Manipur,Chandel,,
,Manipur,Bishnupur,,
,Maharashtra,Yavatmal,,
,Maharashtra,Washim,,
,Maharashtra,Wardha,,
,Maharashtra,Thane,,
,Maharashtra,Solapur,,
,Maharashtra,Sindhudurg,,
,Meghalaya,South West Garo Hills,,
,Mizoram,Khawzawl,,
,Mizoram,Kolasib,,
,Mizoram,Hnahthial,,
,Mizoram,Champhai,,
,Mizoram,Aizawl,,
,Meghalaya,West Khasi Hills,,
,Meghalaya,West Jaintia Hills,,
,Meghalaya,West Garo Hills,,
,Meghalaya,South West Khasi Hills,,
,Manipur,Tengnoupal,,
,Meghalaya,South Garo Hills,,
,Meghalaya,Ri Bhoi,,
,Meghalaya,North Garo Hills,,
,Meghalaya,Mairang,,
,Meghalaya,East Khasi Hills,,
,Meghalaya,East Jaintia Hills,,
,Meghalaya,East Garo Hills,,
,Manipur,Ukhrul,,
,Manipur,Thoubal,,
,Nagaland,Longleng,,
,Nagaland,Tuensang,,
,Nagaland,Tseminyu,,
,Nagaland,Shamator,,
,Nagaland,Phek,,
,Nagaland,Peren,,
,Nagaland,Noklak,,
,Nagaland,Niuland,,
,Nagaland,Mon,,
,Nagaland,Mokokchung,,
,Mizoram,Lawngtlai,,
,Nagaland,Kohima,,
,Nagaland,Kiphire,,
,Nagaland,Dimapur,,
,Nagaland,Chumukedima,,
,Mizoram,Saitual,,
,Mizoram,Serchhip,,
,Mizoram,Saiha,,
,Mizoram,Mamit,,
,Mizoram,Lunglei,,
,Odisha,Dhenkanal,CF,
,Odisha,Kendujhar,CF,
,Odisha,Kendrapara,CF,
,Odisha,Kandhamal,CF,
,Odisha,Kalahandi,CF,
,Odisha,Jharsuguda,CF,
,Odisha,Jajpur,CF,
,Odisha,Jagatsinghpur,CF,
,Odisha,Ganjam,CF,
,Odisha,Gajapati,CF,
,Nagaland,Wokha,,
,Odisha,Debagarh,CF,
,Odisha,Cuttack,CF,
,Odisha,Boudh,CF,
,Odisha,Bhadrak,CF,
,Odisha,Bargarh,CF,
,Odisha,Balasore,CF,
,Odisha,Balangir,CF,
,Odisha,Angul,CF,
,Nagaland,Zunheboto,,
,Odisha,Subarnapur,CF,
,Punjab,Faridkot,,
,Punjab,Bathinda,,
,Punjab,Barnala,,
,Punjab,Amritsar,,
,Puducherry,Yanam,,
,Puducherry,Puducherry,,
,Puducherry,Mahe,,
,Puducherry,Karaikal,,
,Odisha,Sundergarh,,
,Odisha,Khordha,,
,Odisha,Sambalpur,,
,Odisha,Rayagada,,
,Odisha,Puri,,
,Odisha,Nuapada,,
,Odisha,Nayagarh,,
,Odisha,Nabarangpur,,
,Odisha,Mayurbhanj,,
,Odisha,Malkangiri,,
,Odisha,Koraput,,
,Punjab,Moga,,
,Rajasthan,Ajmer,,
,Punjab,Tarn Taran,,
,Punjab,Shaheed Bhagat Singh Nagar,,
,Punjab,Sangrur,,
,Punjab,Rupnagar,,
,Punjab,Patiala,,
,Punjab,Pathankot,,
,Punjab,Muktsar,,
,Punjab,Mohali,,
,Punjab,Fatehgarh Sahib,,
,Punjab,Mansa,,
,Punjab,Malerkotla,,
,Punjab,Ludhiana,,
,Punjab,Kapurthala,,
,Punjab,Jalandhar,,
,Punjab,Hoshiarpur,,
,Punjab,Gurdaspur,,
,Punjab,Firozpur,,
,Punjab,Fazilka,,
,Rajasthan,Dausa,,
,Rajasthan,Jodhpur,,
,Rajasthan,Jhunjhunu,,
,Rajasthan,Jhalawar,,
,Rajasthan,Jalore,,
,Rajasthan,Jaisalmer,,
,Rajasthan,Jaipur,,
,Rajasthan,Hanumangarh,,
,Rajasthan,Dungarpur,,
,Rajasthan,Dholpur,,
,Rajasthan,Alwar,,
,Rajasthan,Churu,,
,Rajasthan,Chittorgarh,,
,Rajasthan,Bundi,,
,Rajasthan,Bikaner,,
,Rajasthan,Bhilwara,,
,Rajasthan,Bharatpur,,
,Rajasthan,Barmer,,
,Rajasthan,Baran,,
,Rajasthan,Banswara,,
,Rajasthan,Tonk,,
,Tamil Nadu,Chengalpattu,,
,Tamil Nadu,Ariyalur,,
,Sikkim,West Sikkim,,
,Sikkim,South Sikkim,,
,Sikkim,Soreng,,
,Sikkim,Pakyong,,
,Sikkim,North Sikkim,,
,Sikkim,East Sikkim,,
,Rajasthan,Udaipur,,
,Rajasthan,Karauli,,
,Rajasthan,Sri Ganganagar,,
,Rajasthan,Sirohi,,
,Rajasthan,Sikar,,
,Rajasthan,Sawai Madhopur,,
,Rajasthan,Rajsamand,,
,Rajasthan,Pratapgarh,,
,Rajasthan,Pali,,
,Rajasthan,Nagaur,,
,Rajasthan,Kota,,
,Tamil Nadu,Krishnagiri,,
,Tamil Nadu,Ranipet,,
,Tamil Nadu,Ramanathapuram,,
,Tamil Nadu,Pudukkottai,,
,Tamil Nadu,Perambalur,,
,Tamil Nadu,Nilgiris,,
,Tamil Nadu,Namakkal,,
,Tamil Nadu,Nagapattinam,,
,Tamil Nadu,Mayiladuthurai,,
,Tamil Nadu,Madurai,,
,Tamil Nadu,Chennai,,
,Tamil Nadu,Karur,,
,Tamil Nadu,Kanyakumari,,
,Tamil Nadu,Kanchipuram,,
,Tamil Nadu,Kallakurichi,,
,Tamil Nadu,Erode,,
,Tamil Nadu,Dindigul,,
,Tamil Nadu,Dharmapuri,,
,Tamil Nadu,Cuddalore,,
,Tamil Nadu,Coimbatore,,
,Tamil Nadu,Tiruvallur,,
,Telangana,Jagtial,,
,Telangana,Hyderabad,,
,Telangana,Bhadradri Kothagudem,,
,Telangana,Adilabad,,
,Tamil Nadu,Virudhunagar,,
,Tamil Nadu,Viluppuram,,
,Tamil Nadu,Vellore,,
,Tamil Nadu,Tiruvarur,,
,Tamil Nadu,Tiruvannamalai,,
,Tamil Nadu,Salem,,
,Tamil Nadu,Tiruppur,,
,Tamil Nadu,Tirupattur,,
,Tamil Nadu,Tirunelveli,,
,Tamil Nadu,Tiruchirappalli,,
,Tamil Nadu,Thoothukudi,,
,Tamil Nadu,Theni,,
,Tamil Nadu,Thanjavur,,
,Tamil Nadu,Tenkasi,,
,Tamil Nadu,Sivaganga,,
,Telangana,Medak,,
,Telangana,Rajanna Sircilla,,
,Telangana,Peddapalli,,
,Telangana,Nizamabad,,
,Telangana,Nirmal,,
,Telangana,Narayanpet,,
,Telangana,Nalgonda,,
,Telangana,Nagarkurnool,,
,Telangana,Mulugu,,
,Telangana,Medchal,,
,Telangana,Jangaon,,
,Telangana,Mancherial,,
,Telangana,Mahbubnagar,,
,Telangana,Mahabubabad,,
,Telangana,Komaram Bheem,,
,Telangana,Khammam,,
,Telangana,Karimnagar,,
,Telangana,Kamareddy,,
,Telangana,Jogulamba,,
,Telangana,Jayashankar,,
,Tripura,Gomati,,
,Uttar Pradesh,Ambedkar Nagar,,
,Uttar Pradesh,Aligarh,,
,Uttar Pradesh,Agra,,
,Tripura,West Tripura,,
,Tripura,Unakoti,,
,Tripura,South Tripura,,
,Tripura,Sepahijala,,
,Tripura,North Tripura,,
,Tripura,Khowai,,
,Telangana,Ranga Reddy,,
,Tripura,Dhalai,,
,Telangana,Yadadri Bhuvanagiri,,
,Telangana,Hanamkonda,,
,Telangana,Warangal,,
,Telangana,Wanaparthy,,
,Telangana,Vikarabad,,
,Telangana,Suryapet,,
,Telangana,Siddipet,,
,Telangana,Sangareddy,,
,Uttar Pradesh,Barabanki,,
,Uttar Pradesh,Deoria,,
,Uttar Pradesh,Chitrakoot,,
,Uttar Pradesh,Chandauli,,
,Uttar Pradesh,Bulandshahr,,
,Uttar Pradesh,Budaun,,
,Uttar Pradesh,Bijnor,,
,Uttar Pradesh,Bhadohi,,
,Uttar Pradesh,Basti,,
,Uttar Pradesh,Bareilly,,
,Uttar Pradesh,Amethi,,
,Uttar Pradesh,Banda,,
,Uttar Pradesh,Balrampur,,
,Uttar Pradesh,Ballia,,
,Uttar Pradesh,Bahraich,,
,Uttar Pradesh,Baghpat,,
,Uttar Pradesh,Azamgarh,,
,Uttar Pradesh,Ayodhya,,
,Uttar Pradesh,Auraiya,,
,Uttar Pradesh,Amroha,,
,Uttar Pradesh,Hamirpur,,
,Uttar Pradesh,Kanpur Nagar,,
,Uttar Pradesh,Kanpur Dehat,,
,Uttar Pradesh,Kannauj,,
,Uttar Pradesh,Jhansi,,
,Uttar Pradesh,Jaunpur,,
,Uttar Pradesh,Jalaun,,
,Uttar Pradesh,Hathras,,
,Uttar Pradesh,Hardoi,,
,Uttar Pradesh,Hapur,,
,Uttar Pradesh,Etah,,
,Uttar Pradesh,Gorakhpur,,
,Uttar Pradesh,Gonda,,
,Uttar Pradesh,Ghazipur,,
,Uttar Pradesh,Ghaziabad,,
,Uttar Pradesh,Gautam Buddha Nagar,,
,Uttar Pradesh,Firozabad,,
,Uttar Pradesh,Fatehpur,,
,Uttar Pradesh,Farrukhabad,,
,Uttar Pradesh,Etawah,,
,Uttar Pradesh,Mau,,
,Uttar Pradesh,Rampur,,
,Uttar Pradesh,Raebareli,,
,Uttar Pradesh,Prayagraj,,
,Uttar Pradesh,Pratapgarh,,
,Uttar Pradesh,Pilibhit,,
,Uttar Pradesh,Muzaffarnagar,,
,Uttar Pradesh,Moradabad,,
,Uttar Pradesh,Mirzapur,,
,Uttar Pradesh,Meerut,,
,Uttar Pradesh,Kasganj,,
,Uttar Pradesh,Mathura,,
,Uttar Pradesh,Mainpuri,,
,Uttar Pradesh,Mahoba,,
,Uttar Pradesh,Maharajganj,,
,Uttar Pradesh,Lucknow,,
,Uttar Pradesh,Lalitpur,,
,Uttar Pradesh,Kushinagar,,
,Uttar Pradesh,Kheri,,
,Uttar Pradesh,Kaushambi,,
,Uttar Pradesh,Unnao,,
,Uttarakhand,Pauri,,
,Uttarakhand,Nainital,,
,Uttarakhand,Haridwar,,
,Uttarakhand,Dehradun,,
,Uttarakhand,Champawat,,
,Uttarakhand,Chamoli,,
,Uttarakhand,Bageshwar,,
,Uttarakhand,Almora,,
,Uttar Pradesh,Varanasi,,
,Uttar Pradesh,Saharanpur,,
,Uttar Pradesh,Sultanpur,,
,Uttar Pradesh,Sonbhadra,,
,Uttar Pradesh,Sitapur,,
,Uttar Pradesh,Siddharthnagar,,
,Uttar Pradesh,Shravasti,,
,Uttar Pradesh,Shamli,,
,Uttar Pradesh,Shahjahanpur,,
,Uttar Pradesh,Sant Kabir Nagar,,
,Uttar Pradesh,Sambhal,,
,West Bengal,Darjeeling,CF,
,West Bengal,Nadia,CF,
,West Bengal,Murshidabad,CF,
,West Bengal,Malda,CF,
,West Bengal,Kolkata,CF,
,West Bengal,Kalimpong,CF,
,West Bengal,Jhargram,CF,
,West Bengal,Jalpaiguri,CF,
,West Bengal,Howrah,CF,
,West Bengal,Hooghly,CF,
,Uttarakhand,Pithoragarh,,
,West Bengal,Dakshin Dinajpur,CF,
,West Bengal,Cooch Behar,CF,
,West Bengal,Birbhum,CF,
,West Bengal,Bankura,CF,
,West Bengal,Alipurduar,CF,
,Uttarakhand,Uttarkashi,,
,Uttarakhand,Udham Singh Nagar,,
,Uttarakhand,Tehri,,
,Uttarakhand,Rudraprayag,,
,West Bengal,North 24 Parganas,CF,
,West Bengal,Paschim Bardhaman,CF,
,West Bengal,Paschim Medinipur,CF,
,West Bengal,Purba Bardhaman,CF,
,West Bengal,Purba Medinipur,CF,
,West Bengal,Purulia,CF,
,West Bengal,South 24 Parganas,CF,
,West Bengal,Uttar Dinajpur,CF,
